epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,28364.1,0.39154,0.30004,0.80453,0.97693,0.99331,0.99072,0.95854,0.30734,0.16949,0.78533,0.007228,0.007228,0.007228
44,3565.11,0.3753,0.27477,0.80151,0.97761,0.99321,0.99082,0.95963,0.3061,0.16699,0.78525,0.007162,0.007162,0.007162
45,6128,0.37622,0.27465,0.80043,0.98075,0.99154,0.99092,0.95887,0.30611,0.16666,0.78522,0.007096,0.007096,0.007096
46,8678.42,0.37532,0.27639,0.80114,0.98104,0.99178,0.99108,0.95973,0.30566,0.1658,0.78508,0.00703,0.00703,0.00703
47,10892.4,0.37515,0.2746,0.80009,0.97999,0.99053,0.99069,0.95956,0.30511,0.16632,0.78509,0.006964,0.006964,0.006964
48,12781.2,0.3788,0.27935,0.80201,0.97757,0.99363,0.99063,0.95997,0.30434,0.16608,0.78487,0.006898,0.006898,0.006898
49,15273.8,0.37781,0.27976,0.80061,0.97881,0.99138,0.99051,0.96007,0.30398,0.16579,0.78461,0.006832,0.006832,0.006832
50,17725.8,0.37682,0.27927,0.80187,0.97842,0.9931,0.99061,0.96044,0.30292,0.1649,0.7844,0.006766,0.006766,0.006766
51,14299.9,0.35786,0.25147,0.79839,0.97932,0.98972,0.99006,0.96008,0.30177,0.16341,0.78428,0.0067,0.0067,0.0067
52,23372.7,0.36037,0.25453,0.79741,0.97925,0.98547,0.98928,0.95981,0.30085,0.16358,0.78418,0.006634,0.006634,0.006634
53,3417.31,0.34199,0.23074,0.79551,0.98236,0.98852,0.99066,0.962,0.30106,0.16385,0.78422,0.006568,0.006568,0.006568
54,5913.41,0.35519,0.24627,0.79626,0.98339,0.98816,0.99063,0.96178,0.30086,0.16452,0.78421,0.006502,0.006502,0.006502
55,8358.26,0.36091,0.25528,0.79857,0.98313,0.98953,0.99086,0.96171,0.30086,0.1632,0.78419,0.006436,0.006436,0.006436
56,10410.3,0.36106,0.25676,0.79769,0.98225,0.98904,0.99068,0.96193,0.30047,0.16308,0.7841,0.00637,0.00637,0.00637
57,12212,0.36477,0.26131,0.79952,0.97944,0.99225,0.99064,0.96203,0.30041,0.16345,0.78408,0.006304,0.006304,0.006304
58,14058.6,0.36695,0.26486,0.79874,0.98167,0.98938,0.99056,0.96239,0.30009,0.16314,0.78391,0.006238,0.006238,0.006238
59,15975.5,0.37061,0.2693,0.80078,0.98056,0.99008,0.99063,0.9626,0.29972,0.16248,0.78382,0.006172,0.006172,0.006172
60,17768.3,0.37342,0.27522,0.80074,0.97968,0.99244,0.99082,0.96304,0.29928,0.16106,0.78371,0.006106,0.006106,0.006106
61,19555.8,0.3736,0.27569,0.80184,0.98135,0.99063,0.99092,0.96309,0.29898,0.16004,0.78365,0.00604,0.00604,0.00604
62,21458.1,0.37136,0.27271,0.80055,0.98169,0.9907,0.99104,0.96356,0.29866,0.15939,0.7836,0.005974,0.005974,0.005974
63,3423.12,0.33563,0.22283,0.79468,0.98158,0.99163,0.99103,0.96362,0.29832,0.15928,0.78354,0.005908,0.005908,0.005908
64,5823.01,0.34469,0.23284,0.79463,0.98255,0.99069,0.99095,0.96358,0.29832,0.15955,0.78355,0.005842,0.005842,0.005842
65,8301.21,0.34871,0.2388,0.79647,0.98239,0.99027,0.99096,0.96343,0.29844,0.15947,0.78355,0.005776,0.005776,0.005776
66,10334,0.34949,0.23927,0.7956,0.98349,0.98933,0.99088,0.96347,0.29822,0.15948,0.78349,0.00571,0.00571,0.00571
67,12097.1,0.35352,0.24525,0.79743,0.98427,0.9888,0.99084,0.96352,0.29808,0.15952,0.78346,0.005644,0.005644,0.005644
68,13932.7,0.35644,0.25015,0.7968,0.98422,0.98875,0.99078,0.9637,0.29791,0.15969,0.78341,0.005578,0.005578,0.005578
69,15784.9,0.35897,0.25353,0.79867,0.98452,0.98826,0.9908,0.96369,0.29776,0.15949,0.7834,0.005512,0.005512,0.005512
70,17476.8,0.36387,0.26219,0.79889,0.98418,0.98885,0.99084,0.96384,0.29759,0.15889,0.78332,0.005446,0.005446,0.005446
71,19184.6,0.36528,0.26442,0.80037,0.98471,0.98867,0.99087,0.96381,0.29744,0.15843,0.78328,0.00538,0.00538,0.00538
72,20920.6,0.36454,0.26367,0.79931,0.98487,0.98851,0.99096,0.9638,0.29728,0.15786,0.78326,0.005314,0.005314,0.005314
