epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3466.52,0.51535,0.54337,0.81793,0.91392,0.4817,0.53546,0.49134,0.42544,0.39547,0.80266,0.00332952,0.00332952,0.00332952
2,6368.51,0.61336,0.64421,0.83517,0.89443,0.50668,0.54892,0.49752,0.45193,0.48301,0.81105,0.00655292,0.00655292,0.00655292
3,9381.37,0.68127,0.74831,0.8522,0.85029,0.35792,0.39552,0.34013,0.60239,0.59516,0.84042,0.00966632,0.00966632,0.00966632
4,11534.8,0.68097,0.77565,0.85294,0.90549,0.71071,0.73802,0.65851,0.50534,0.48071,0.82352,0.009505,0.009505,0.009505
5,4189.09,0.63685,0.70657,0.84526,0.9334,0.96118,0.97506,0.86915,0.50394,0.43175,0.82472,0.00934,0.00934,0.00934
6,7701.01,0.6074,0.64634,0.83862,0.92231,0.94469,0.97148,0.88018,0.45408,0.43059,0.81353,0.009175,0.009175,0.009175
7,10445.5,0.58582,0.60837,0.83599,0.93284,0.9762,0.97684,0.88965,0.43743,0.38487,0.80931,0.00901,0.00901,0.00901
8,12756.8,0.56835,0.57167,0.83173,0.94697,0.97204,0.97987,0.89663,0.434,0.35611,0.80939,0.008845,0.008845,0.008845
9,14713.9,0.55578,0.55765,0.83024,0.94453,0.97922,0.98015,0.89661,0.42801,0.34181,0.80756,0.00868,0.00868,0.00868
10,16664.2,0.54487,0.53404,0.82695,0.95344,0.98155,0.98284,0.90688,0.41153,0.31903,0.80569,0.008515,0.008515,0.008515
11,18604.5,0.53531,0.51767,0.82716,0.95729,0.98074,0.98406,0.88334,0.48639,0.32169,0.81755,0.00835,0.00835,0.00835
12,20468,0.52704,0.50327,0.82411,0.95221,0.98315,0.98197,0.90984,0.39708,0.30199,0.80214,0.008185,0.008185,0.008185
13,22226.4,0.51702,0.48688,0.82337,0.96381,0.97702,0.98486,0.90822,0.41419,0.29252,0.80523,0.00802,0.00802,0.00802
14,24102.1,0.51181,0.48052,0.82149,0.95903,0.98242,0.98426,0.91354,0.3969,0.28636,0.80175,0.007855,0.007855,0.007855
15,3631.15,0.50276,0.4619,0.81982,0.95504,0.98531,0.98316,0.92031,0.37961,0.27897,0.79844,0.00769,0.00769,0.00769
16,6337.47,0.4956,0.45181,0.81736,0.96436,0.97886,0.98507,0.91933,0.38212,0.27214,0.7979,0.007525,0.007525,0.007525
17,9065.65,0.4882,0.44546,0.81767,0.95606,0.98807,0.98354,0.92106,0.37663,0.26871,0.79858,0.00736,0.00736,0.00736
18,11037.4,0.48422,0.43502,0.81586,0.95985,0.9841,0.98395,0.92345,0.37169,0.26712,0.79701,0.007195,0.007195,0.007195
19,12821.6,0.48036,0.42963,0.81674,0.9612,0.98564,0.98508,0.92738,0.36551,0.25663,0.79564,0.00703,0.00703,0.00703
20,14637,0.47622,0.42228,0.81446,0.96232,0.98688,0.98572,0.92943,0.36091,0.25334,0.79531,0.006865,0.006865,0.006865
21,16471.4,0.47117,0.41605,0.81512,0.96642,0.98161,0.98612,0.92631,0.36671,0.25181,0.79574,0.0067,0.0067,0.0067
22,18333.9,0.4673,0.40965,0.81362,0.96185,0.98775,0.98576,0.92879,0.36181,0.24673,0.79515,0.006535,0.006535,0.006535
23,21588.5,0.46285,0.40386,0.81369,0.96943,0.98092,0.98626,0.93349,0.35446,0.24521,0.7939,0.00637,0.00637,0.00637
24,25012.4,0.45984,0.39958,0.81225,0.96634,0.98491,0.98667,0.93565,0.3481,0.23808,0.79271,0.006205,0.006205,0.006205
25,28319,0.45969,0.39828,0.8127,0.96141,0.98642,0.98524,0.9351,0.34963,0.23898,0.79254,0.00604,0.00604,0.00604
26,31633.3,0.45568,0.39582,0.81217,0.96373,0.988,0.98581,0.93691,0.34534,0.23661,0.79206,0.005875,0.005875,0.005875
27,34876.8,0.45181,0.39047,0.81194,0.96482,0.98588,0.98629,0.93677,0.34736,0.2333,0.79289,0.00571,0.00571,0.00571
28,38097.8,0.4488,0.38492,0.80966,0.96699,0.98571,0.98691,0.93869,0.34178,0.23097,0.79113,0.005545,0.005545,0.005545
29,41585.4,0.44409,0.37838,0.81013,0.96949,0.98685,0.98776,0.93976,0.33938,0.22442,0.79105,0.00538,0.00538,0.00538
30,44540.3,0.44134,0.37481,0.8095,0.96836,0.98587,0.98708,0.9398,0.3406,0.22451,0.79135,0.005215,0.005215,0.005215
31,3512.77,0.43596,0.36325,0.80798,0.97192,0.98512,0.98803,0.94059,0.34124,0.22129,0.79106,0.00505,0.00505,0.00505
32,6007.4,0.43211,0.36041,0.80607,0.97158,0.98588,0.98777,0.94254,0.33514,0.21995,0.78993,0.004885,0.004885,0.004885
33,8459.1,0.42934,0.35707,0.80737,0.96814,0.98862,0.98771,0.9431,0.3348,0.21699,0.79028,0.00472,0.00472,0.00472
